cycle_number,edge_number,node_from,node_to,osm_id,expected_segment_id,edge_exists_in_graph,length,name,highway
1,1,2692226557,355007398,263596313,263596313_2692226557_355007398,True,124.506,Howell Street,residential
1,2,355007398,277136570,"[611263091, 1221729707]","[611263091, 1221729707]_277136570_355007398",True,90.417,Park Avenue,secondary
1,3,277136570,1840020403,263596304,263596304_1840020403_277136570,True,219.808,Joslin Street,tertiary
1,4,1840020403,355007369,173174981,173174981_1840020403_355007369,True,208.40300000000005,Seaview Street,residential
1,5,355007369,10000995246,"[31730320, 467562271]","[31730320, 467562271]_10000995246_355007369",True,123.126,Railway Avenue,unclassified
1,6,10000995246,355007369,"[31730320, 467562271]","[31730320, 467562271]_10000995246_355007369",True,123.126,Railway Avenue,unclassified
1,7,355007369,355007398,"[611263090, 611263091]","[611263090, 611263091]_355007369_355007398",True,237.153,Park Avenue,secondary
1,8,355007398,2692226557,263596313,263596313_2692226557_355007398,True,124.506,Howell Street,residential
1,9,2692226557,2692226557,"[263596296, 263596313]","[263596296, 263596313]_2692226557_2692226557",True,499.949,"['Joanne Street', 'Howell Street']",residential
1,10,2692226557,355007398,263596313,263596313_2692226557_355007398,True,124.506,Howell Street,residential
1,11,355007398,277136570,"[611263091, 1221729707]","[611263091, 1221729707]_277136570_355007398",True,90.417,Park Avenue,secondary
1,12,277136570,277137398,332229917,332229917_277136570_277137398,True,263.067,Park Avenue,secondary
1,13,277137398,903719355,332229917,332229917_277137398_903719355,True,20.159,Park Avenue,secondary
1,14,903719355,355007422,"[1299638354, 279115684]","[1299638354, 279115684]_355007422_903719355",True,94.845,Park Avenue,secondary
1,15,355007422,2692226764,263596293,263596293_2692226764_355007422,True,150.30599999999998,Searle Street,residential
1,16,2692226764,2692226406,263596294,263596294_2692226406_2692226764,True,51.474,McDougall Street,residential
1,17,2692226406,2692226764,263596294,263596294_2692226406_2692226764,True,51.474,McDougall Street,residential
1,18,2692226764,355007422,263596293,263596293_2692226764_355007422,True,150.30599999999998,Searle Street,residential
1,19,355007422,12038672642,1299638356,1299638356_12038672642_355007422,True,45.895,,secondary_link
1,20,12038672642,903719355,584721982,584721982_12038672642_903719355,True,51.879,Park Avenue,secondary
1,21,903719355,12038672642,584721982,584721982_12038672642_903719355,True,51.879,Park Avenue,secondary
1,22,12038672642,12038672648,584721982,584721982_12038672642_12038672648,True,87.15500000000002,Park Avenue,secondary
1,23,12038672648,355007422,1299638357,1299638357_12038672648_355007422,True,45.925,,secondary_link
1,24,355007422,12038672027,"[584721976, 76700930, 279115684, 584721973]","[584721976, 76700930, 279115684, 584721973]_12038672027_355007422",True,173.14399999999995,Park Avenue,secondary
1,25,12038672027,903719322,1299688736,1299688736_12038672027_903719322,True,7.191,Park Avenue,secondary
1,26,903719322,284966533,173175155,173175155_284966533_903719322,True,5.814,Kullaiba Road,unclassified
1,27,284966533,12038672019,1299638355,1299638355_12038672019_284966533,True,7.304,Park Avenue,secondary
1,28,12038672019,12038672027,1299688737,1299688737_12038672019_12038672027,True,6.132,Kullaiba Road,unclassified
1,29,12038672027,12038672019,1299688737,1299688737_12038672019_12038672027,True,6.132,Kullaiba Road,unclassified
1,30,12038672019,12038672648,"[584721987, 584721982, 415483023]","[584721987, 584721982, 415483023]_12038672019_12038672648",True,124.29299999999999,Park Avenue,secondary
1,31,12038672648,12038672642,584721982,584721982_12038672642_12038672648,True,87.15500000000002,Park Avenue,secondary
1,32,12038672642,903719355,584721982,584721982_12038672642_903719355,True,51.879,Park Avenue,secondary
1,33,903719355,277137398,332229917,332229917_277137398_903719355,True,20.159,Park Avenue,secondary
1,34,277137398,277136570,332229917,332229917_277136570_277137398,True,263.067,Park Avenue,secondary
1,35,277136570,355007398,"[611263091, 1221729707]","[611263091, 1221729707]_277136570_355007398",True,90.417,Park Avenue,secondary
1,36,355007398,2692226557,263596313,263596313_2692226557_355007398,True,124.506,Howell Street,residential
2,1,2692226557,355007398,263596313,263596313_2692226557_355007398,True,124.506,Howell Street,residential
2,2,355007398,277136570,"[611263091, 1221729707]","[611263091, 1221729707]_277136570_355007398",True,90.417,Park Avenue,secondary
2,3,277136570,1840020403,263596304,263596304_1840020403_277136570,True,219.808,Joslin Street,tertiary
2,4,1840020403,1840020417,263596304,263596304_1840020403_1840020417,True,104.96699999999998,Joslin Street,tertiary
2,5,1840020417,2692226690,263596291,263596291_1840020417_2692226690,True,122.39399999999998,Rae Crescent,residential
2,6,2692226690,1840020451,"[173174952, 263596315]","[173174952, 263596315]_1840020451_2692226690",True,154.882,Springfield Avenue,residential
2,7,1840020451,1843843715,173174952,173174952_1840020451_1843843715,True,285.548,Springfield Avenue,residential
2,8,1843843715,1840020494,173175045,173175045_1840020494_1843843715,True,321.745,Bryson Avenue,residential
2,9,1840020494,1840020457,519181600,519181600_1840020457_1840020494,True,158.379,Grayson Avenue,residential
2,10,1840020457,1840020451,263596308,263596308_1840020451_1840020457,True,224.113,Judith Avenue,residential
2,11,1840020451,2692226690,"[173174952, 263596315]","[173174952, 263596315]_1840020451_2692226690",True,154.882,Springfield Avenue,residential
2,12,2692226690,1840020417,263596291,263596291_1840020417_2692226690,True,122.39399999999998,Rae Crescent,residential
2,13,1840020417,1843843682,263596304,263596304_1840020417_1843843682,True,35.223,Joslin Street,tertiary
2,14,1843843682,355005638,25429504,25429504_1843843682_355005638,True,164.219,Rae Crescent,residential
2,15,355005638,355005652,25429504,25429504_355005638_355005652,True,69.728,Rae Crescent,residential
2,16,355005652,277137674,"[25429504, 208217422]","[25429504, 208217422]_277137674_355005652",True,218.339,Rae Crescent,residential
2,17,277137674,1843843695,173599942,173599942_1843843695_277137674,True,208.63799999999998,Bender Parade,residential
2,18,1843843695,1843843688,173599942,173599942_1843843688_1843843695,True,52.287,Bender Parade,residential
2,19,1843843688,355007369,"[263596290, 263596322]","[263596290, 263596322]_1843843688_355007369",True,659.5469999999999,Park Avenue,secondary
2,20,355007369,355007398,"[611263090, 611263091]","[611263090, 611263091]_355007369_355007398",True,237.153,Park Avenue,secondary
2,21,355007398,2692226557,263596313,263596313_2692226557_355007398,True,124.506,Howell Street,residential
3,1,2692226557,355007398,263596313,263596313_2692226557_355007398,True,124.506,Howell Street,residential
3,2,355007398,277136570,"[611263091, 1221729707]","[611263091, 1221729707]_277136570_355007398",True,90.417,Park Avenue,secondary
3,3,277136570,277137398,332229917,332229917_277136570_277137398,True,263.067,Park Avenue,secondary
3,4,277137398,2692226489,263596303,263596303_2692226489_277137398,True,159.73000000000002,Grayson Avenue,residential
3,5,2692226489,1840020457,263596303,263596303_1840020457_2692226489,True,396.331,Grayson Avenue,residential
3,6,1840020457,1840020451,263596308,263596308_1840020451_1840020457,True,224.113,Judith Avenue,residential
3,7,1840020451,2692226690,"[173174952, 263596315]","[173174952, 263596315]_1840020451_2692226690",True,154.882,Springfield Avenue,residential
3,8,2692226690,2692226489,263596315,263596315_2692226489_2692226690,True,423.27,Springfield Avenue,residential
3,9,2692226489,277137398,263596303,263596303_2692226489_277137398,True,159.73000000000002,Grayson Avenue,residential
3,10,277137398,903719355,332229917,332229917_277137398_903719355,True,20.159,Park Avenue,secondary
3,11,903719355,355007422,"[1299638354, 279115684]","[1299638354, 279115684]_355007422_903719355",True,94.845,Park Avenue,secondary
3,12,355007422,12038672027,"[584721976, 76700930, 279115684, 584721973]","[584721976, 76700930, 279115684, 584721973]_12038672027_355007422",True,173.14399999999995,Park Avenue,secondary
3,13,12038672027,11548130693,"[1299638099, 1299638100]","[1299638099, 1299638100]_11548130693_12038672027",True,98.18900000000001,Kullaiba Road,unclassified
3,14,11548130693,12038672027,"[1299638099, 1299638100]","[1299638099, 1299638100]_11548130693_12038672027",True,98.18900000000001,Kullaiba Road,unclassified
3,15,12038672027,903719322,1299688736,1299688736_12038672027_903719322,True,7.191,Park Avenue,secondary
3,16,903719322,11548130693,"[1299638098, 530744674]","[1299638098, 530744674]_11548130693_903719322",True,95.621,Kullaiba Road,unclassified
3,17,11548130693,3393434596,419698304,419698304_11548130693_3393434596,True,70.66300000000001,Kullaiba Road,unclassified
3,18,3393434596,3393432760,415483027,415483027_3393432760_3393434596,True,19.119,Kullaiba Road,unclassified
3,19,3393432760,3393434596,415483027,415483027_3393432760_3393434596,True,19.119,Kullaiba Road,unclassified
3,20,3393434596,11548130693,419698304,419698304_11548130693_3393434596,True,70.66300000000001,Kullaiba Road,unclassified
3,21,11548130693,903719322,"[1299638098, 530744674]","[1299638098, 530744674]_11548130693_903719322",True,95.621,Kullaiba Road,unclassified
3,22,903719322,2659075988,419698303,419698303_2659075988_903719322,True,146.42100000000002,Park Avenue,secondary
3,23,2659075988,249343640,36093938,36093938_249343640_2659075988,True,9.919,Lexington Parade,secondary
3,24,249343640,284966533,"[418259558, 332229918]","[418259558, 332229918]_249343640_284966533",True,145.996,Park Avenue,secondary
3,25,284966533,12038672019,1299638355,1299638355_12038672019_284966533,True,7.304,Park Avenue,secondary
3,26,12038672019,12038672648,"[584721987, 584721982, 415483023]","[584721987, 584721982, 415483023]_12038672019_12038672648",True,124.29299999999999,Park Avenue,secondary
3,27,12038672648,12038672642,584721982,584721982_12038672642_12038672648,True,87.15500000000002,Park Avenue,secondary
3,28,12038672642,903719355,584721982,584721982_12038672642_903719355,True,51.879,Park Avenue,secondary
3,29,903719355,277137398,332229917,332229917_277137398_903719355,True,20.159,Park Avenue,secondary
3,30,277137398,277136570,332229917,332229917_277136570_277137398,True,263.067,Park Avenue,secondary
3,31,277136570,355007398,"[611263091, 1221729707]","[611263091, 1221729707]_277136570_355007398",True,90.417,Park Avenue,secondary
3,32,355007398,2692226557,263596313,263596313_2692226557_355007398,True,124.506,Howell Street,residential
4,1,2692226557,355007398,263596313,263596313_2692226557_355007398,True,124.506,Howell Street,residential
4,2,355007398,277136570,"[611263091, 1221729707]","[611263091, 1221729707]_277136570_355007398",True,90.417,Park Avenue,secondary
4,3,277136570,277137398,332229917,332229917_277136570_277137398,True,263.067,Park Avenue,secondary
4,4,277137398,903719355,332229917,332229917_277137398_903719355,True,20.159,Park Avenue,secondary
4,5,903719355,12038672642,584721982,584721982_12038672642_903719355,True,51.879,Park Avenue,secondary
4,6,12038672642,12038672648,584721982,584721982_12038672642_12038672648,True,87.15500000000002,Park Avenue,secondary
4,7,12038672648,12038672019,"[584721987, 584721982, 415483023]","[584721987, 584721982, 415483023]_12038672019_12038672648",True,124.29299999999999,Park Avenue,secondary
4,8,12038672019,284966533,1299638355,1299638355_12038672019_284966533,True,7.304,Park Avenue,secondary
4,9,284966533,249343640,"[418259558, 332229918]","[418259558, 332229918]_249343640_284966533",True,145.996,Park Avenue,secondary
4,10,249343640,2833593903,457819681,457819681_249343640_2833593903,True,57.705,Lexington Parade,secondary
4,11,2833593903,2833593905,"[418259554, 472043939]","[418259554, 472043939]_2833593903_2833593905",True,409.947,Lexington Parade,secondary
4,12,2833593905,277136494,472043939,472043939_277136494_2833593905,True,94.03,Lexington Parade,secondary
4,13,277136494,272240621,"[472043939, 461776406]","[472043939, 461776406]_272240621_277136494",True,94.783,Lexington Parade,secondary
4,14,272240621,1840020438,"[611263092, 173175046]","[611263092, 173175046]_1840020438_272240621",True,129.81,Rosemont Street,secondary
4,15,1840020438,2692248529,380351568,380351568_1840020438_2692248529,True,115.655,Rosemont Street,residential
4,16,2692248529,1840020426,418259560,418259560_1840020426_2692248529,True,41.556,Princeton Avenue,residential
4,17,1840020426,2692248529,418259560,418259560_1840020426_2692248529,True,41.556,Princeton Avenue,residential
4,18,2692248529,2692248423,263599468,263599468_2692248423_2692248529,True,98.668,Princeton Avenue,residential
4,19,2692248423,2692248473,263599468,263599468_2692248423_2692248473,True,53.0,Princeton Avenue,residential
4,20,2692248473,2692248378,263599500,263599500_2692248378_2692248473,True,44.486000000000004,Princeton Avenue,residential
4,21,2692248378,2692248434,263599477,263599477_2692248378_2692248434,True,83.691,Rachael Avenue,residential
4,22,2692248434,2692248484,263599455,263599455_2692248434_2692248484,True,111.124,Toohey Crescent,residential
4,23,2692248484,2692248418,263599455,263599455_2692248418_2692248484,True,35.410000000000004,Toohey Crescent,residential
4,24,2692248418,2692248501,263599455,263599455_2692248418_2692248501,True,179.48400000000004,Toohey Crescent,residential
4,25,2692248501,2692248434,263599477,263599477_2692248434_2692248501,True,122.86099999999999,Rachael Avenue,residential
4,26,2692248434,2692248378,263599477,263599477_2692248378_2692248434,True,83.691,Rachael Avenue,residential
4,27,2692248378,4428724110,263599500,263599500_2692248378_4428724110,True,241.276,Princeton Avenue,residential
4,28,4428724110,2833593903,445445954,445445954_2833593903_4428724110,True,20.822,Princeton Avenue,residential
4,29,2833593903,249343640,457819681,457819681_249343640_2833593903,True,57.705,Lexington Parade,secondary
4,30,249343640,284966533,"[418259558, 332229918]","[418259558, 332229918]_249343640_284966533",True,145.996,Park Avenue,secondary
4,31,284966533,12038672019,1299638355,1299638355_12038672019_284966533,True,7.304,Park Avenue,secondary
4,32,12038672019,12038672648,"[584721987, 584721982, 415483023]","[584721987, 584721982, 415483023]_12038672019_12038672648",True,124.29299999999999,Park Avenue,secondary
4,33,12038672648,12038672642,584721982,584721982_12038672642_12038672648,True,87.15500000000002,Park Avenue,secondary
4,34,12038672642,903719355,584721982,584721982_12038672642_903719355,True,51.879,Park Avenue,secondary
4,35,903719355,277137398,332229917,332229917_277137398_903719355,True,20.159,Park Avenue,secondary
4,36,277137398,277136570,332229917,332229917_277136570_277137398,True,263.067,Park Avenue,secondary
4,37,277136570,355007398,"[611263091, 1221729707]","[611263091, 1221729707]_277136570_355007398",True,90.417,Park Avenue,secondary
4,38,355007398,2692226557,263596313,263596313_2692226557_355007398,True,124.506,Howell Street,residential
5,1,2692226557,355007398,263596313,263596313_2692226557_355007398,True,124.506,Howell Street,residential
5,2,355007398,277136570,"[611263091, 1221729707]","[611263091, 1221729707]_277136570_355007398",True,90.417,Park Avenue,secondary
5,3,277136570,277137398,332229917,332229917_277136570_277137398,True,263.067,Park Avenue,secondary
5,4,277137398,903719355,332229917,332229917_277137398_903719355,True,20.159,Park Avenue,secondary
5,5,903719355,355007422,"[1299638354, 279115684]","[1299638354, 279115684]_355007422_903719355",True,94.845,Park Avenue,secondary
5,6,355007422,2692226764,263596293,263596293_2692226764_355007422,True,150.30599999999998,Searle Street,residential
5,7,2692226764,2692226431,"[263596294, 263596318]","[263596294, 263596318]_2692226431_2692226764",True,231.639,McDougall Street,residential
5,8,2692226431,2692226764,"[263596294, 263596318]","[263596294, 263596318]_2692226431_2692226764",True,231.639,McDougall Street,residential
5,9,2692226764,355007422,263596293,263596293_2692226764_355007422,True,150.30599999999998,Searle Street,residential
5,10,355007422,12038672027,"[584721976, 76700930, 279115684, 584721973]","[584721976, 76700930, 279115684, 584721973]_12038672027_355007422",True,173.14399999999995,Park Avenue,secondary
5,11,12038672027,11548130693,"[1299638099, 1299638100]","[1299638099, 1299638100]_11548130693_12038672027",True,98.18900000000001,Kullaiba Road,unclassified
5,12,11548130693,3393434596,419698304,419698304_11548130693_3393434596,True,70.66300000000001,Kullaiba Road,unclassified
5,13,3393434596,3393432760,415483027,415483027_3393432760_3393434596,True,19.119,Kullaiba Road,unclassified
5,14,3393432760,4599113412,332231237,332231237_3393432760_4599113412,True,204.052,Kullaiba Road,unclassified
5,15,4599113412,3488644760,464845624,464845624_3488644760_4599113412,True,11.975,Kullaiba Road,unclassified
5,16,3488644760,2658893207,480999475,480999475_2658893207_3488644760,True,26.987,Kullaiba Road,unclassified
5,17,2658893207,174778963,26056155,26056155_174778963_2658893207,True,161.101,Kullaiba Road,unclassified
5,18,174778963,1453639332,415483038,415483038_1453639332_174778963,True,11.423,Kullaiba Road,unclassified
5,19,1453639332,903719288,"[415483032, 731235025, 530744667]","[415483032, 731235025, 530744667]_1453639332_903719288",True,208.767,Northcott Drive,primary
5,20,903719288,903719287,"[419698283, 580178239]","[419698283, 580178239]_903719287_903719288",True,73.327,Park Avenue,secondary
5,21,903719287,176399672,255022918,255022918_176399672_903719287,True,10.462,Noel Avenue,residential
5,22,176399672,903719325,"[580178241, 132079389]","[580178241, 132079389]_176399672_903719325",True,73.10300000000001,Park Avenue,secondary
5,23,903719325,903719288,530744668,530744668_903719288_903719325,True,11.831,Northcott Drive,primary
5,24,903719288,903719305,580178236,580178236_903719288_903719305,True,12.431,Park Avenue,secondary
5,25,903719305,903719337,419698284,419698284_903719305_903719337,True,11.917,Northcott Drive,primary
5,26,903719337,249343640,"[1376958404, 1376958405, 419698285]","[1376958404, 1376958405, 419698285]_249343640_903719337",True,300.942,Park Avenue,secondary
5,27,249343640,284966533,"[418259558, 332229918]","[418259558, 332229918]_249343640_284966533",True,145.996,Park Avenue,secondary
5,28,284966533,12038672019,1299638355,1299638355_12038672019_284966533,True,7.304,Park Avenue,secondary
5,29,12038672019,12038672648,"[584721987, 584721982, 415483023]","[584721987, 584721982, 415483023]_12038672019_12038672648",True,124.29299999999999,Park Avenue,secondary
5,30,12038672648,12038672642,584721982,584721982_12038672642_12038672648,True,87.15500000000002,Park Avenue,secondary
5,31,12038672642,903719355,584721982,584721982_12038672642_903719355,True,51.879,Park Avenue,secondary
5,32,903719355,277137398,332229917,332229917_277137398_903719355,True,20.159,Park Avenue,secondary
5,33,277137398,277136570,332229917,332229917_277136570_277137398,True,263.067,Park Avenue,secondary
5,34,277136570,355007398,"[611263091, 1221729707]","[611263091, 1221729707]_277136570_355007398",True,90.417,Park Avenue,secondary
5,35,355007398,2692226557,263596313,263596313_2692226557_355007398,True,124.506,Howell Street,residential
6,1,2692226557,355007398,263596313,263596313_2692226557_355007398,True,124.506,Howell Street,residential
6,2,355007398,277136570,"[611263091, 1221729707]","[611263091, 1221729707]_277136570_355007398",True,90.417,Park Avenue,secondary
6,3,277136570,1840020403,263596304,263596304_1840020403_277136570,True,219.808,Joslin Street,tertiary
6,4,1840020403,1840020417,263596304,263596304_1840020403_1840020417,True,104.96699999999998,Joslin Street,tertiary
6,5,1840020417,1843843682,263596304,263596304_1840020417_1843843682,True,35.223,Joslin Street,tertiary
6,6,1843843682,1843843717,208217427,208217427_1843843682_1843843717,True,445.35299999999995,Joslin Street,tertiary
6,7,1843843717,1843843715,173175045,173175045_1843843715_1843843717,True,103.105,Bryson Avenue,residential
6,8,1843843715,1843843734,173174952,173174952_1843843715_1843843734,True,112.961,Springfield Avenue,residential
6,9,1843843734,1843843753,173174952,173174952_1843843734_1843843753,True,112.874,Springfield Avenue,residential
6,10,1843843753,1843843746,173174954,173174954_1843843746_1843843753,True,101.448,Grayson Avenue,residential
6,11,1843843746,1840020530,"[173174954, 263599458]","[173174954, 263599458]_1840020530_1843843746",True,193.596,Grayson Avenue,residential
6,12,1840020530,5063103481,263599458,263599458_1840020530_5063103481,True,1.113,Grayson Avenue,residential
6,13,5063103481,1840020494,519181600,519181600_1840020494_5063103481,True,179.281,Grayson Avenue,residential
6,14,1840020494,1843843715,173175045,173175045_1840020494_1843843715,True,321.745,Bryson Avenue,residential
6,15,1843843715,1843843717,173175045,173175045_1843843715_1843843717,True,103.105,Bryson Avenue,residential
6,16,1843843717,1843843729,208217427,208217427_1843843717_1843843729,True,75.212,Joslin Street,tertiary
6,17,1843843729,1843843725,173599956,173599956_1843843725_1843843729,True,112.753,Rodway Parade,residential
6,18,1843843725,277137621,173599956,173599956_1843843725_277137621,True,261.65799999999996,Rodway Parade,residential
6,19,277137621,2185449785,208217423,208217423_2185449785_277137621,True,47.515,Clayton Crescent,residential
6,20,2185449785,1843843695,173599944,173599944_1843843695_2185449785,True,169.21300000000002,Clayton Crescent,residential
6,21,1843843695,1843843688,173599942,173599942_1843843688_1843843695,True,52.287,Bender Parade,residential
6,22,1843843688,355007369,"[263596290, 263596322]","[263596290, 263596322]_1843843688_355007369",True,659.5469999999999,Park Avenue,secondary
6,23,355007369,355007398,"[611263090, 611263091]","[611263090, 611263091]_355007369_355007398",True,237.153,Park Avenue,secondary
6,24,355007398,2692226557,263596313,263596313_2692226557_355007398,True,124.506,Howell Street,residential
7,1,2692226557,355007398,263596313,263596313_2692226557_355007398,True,124.506,Howell Street,residential
7,2,355007398,277136570,"[611263091, 1221729707]","[611263091, 1221729707]_277136570_355007398",True,90.417,Park Avenue,secondary
7,3,277136570,277137398,332229917,332229917_277136570_277137398,True,263.067,Park Avenue,secondary
7,4,277137398,903719355,332229917,332229917_277137398_903719355,True,20.159,Park Avenue,secondary
7,5,903719355,355007422,"[1299638354, 279115684]","[1299638354, 279115684]_355007422_903719355",True,94.845,Park Avenue,secondary
7,6,355007422,12038672027,"[584721976, 76700930, 279115684, 584721973]","[584721976, 76700930, 279115684, 584721973]_12038672027_355007422",True,173.14399999999995,Park Avenue,secondary
7,7,12038672027,11548130693,"[1299638099, 1299638100]","[1299638099, 1299638100]_11548130693_12038672027",True,98.18900000000001,Kullaiba Road,unclassified
7,8,11548130693,3393434596,419698304,419698304_11548130693_3393434596,True,70.66300000000001,Kullaiba Road,unclassified
7,9,3393434596,3393432760,415483027,415483027_3393432760_3393434596,True,19.119,Kullaiba Road,unclassified
7,10,3393432760,4599113412,332231237,332231237_3393432760_4599113412,True,204.052,Kullaiba Road,unclassified
7,11,4599113412,4599113410,464845623,464845623_4599113410_4599113412,True,14.205,Kullaiba Road,unclassified
7,12,4599113410,4599113412,464845623,464845623_4599113410_4599113412,True,14.205,Kullaiba Road,unclassified
7,13,4599113412,3488644760,464845624,464845624_3488644760_4599113412,True,11.975,Kullaiba Road,unclassified
7,14,3488644760,4599113410,480999464,480999464_3488644760_4599113410,True,7.894,Kullaiba Road,unclassified
7,15,4599113410,2658893219,"[904926012, 36094263]","[904926012, 36094263]_2658893219_4599113410",True,17.697,Kullaiba Road,unclassified
7,16,2658893219,1453639318,731235027,731235027_1453639318_2658893219,True,163.60899999999998,Kullaiba Road,unclassified
7,17,1453639318,174778963,731235026,731235026_1453639318_174778963,True,8.162,Northcott Drive,primary
7,18,174778963,1926352191,415483035,415483035_174778963_1926352191,True,105.732,Northcott Drive,primary
7,19,1926352191,2519676283,"[260411876, 446614028]","[260411876, 446614028]_1926352191_2519676283",True,195.66699999999997,Bradford Close,unclassified
7,20,2519676283,1926352191,"[260411876, 446614028]","[260411876, 446614028]_1926352191_2519676283",True,195.66699999999997,Bradford Close,unclassified
7,21,1926352191,174778963,415483035,415483035_174778963_1926352191,True,105.732,Northcott Drive,primary
7,22,174778963,2658893207,26056155,26056155_174778963_2658893207,True,161.101,Kullaiba Road,unclassified
7,23,2658893207,2658893219,480999465,480999465_2658893207_2658893219,True,6.083,Kullaiba Road,unclassified
7,24,2658893219,1453639318,731235027,731235027_1453639318_2658893219,True,163.60899999999998,Kullaiba Road,unclassified
7,25,1453639318,1453639332,415483030,415483030_1453639318_1453639332,True,11.47,Kullaiba Road,unclassified
7,26,1453639332,1453639318,415483030,415483030_1453639318_1453639332,True,11.47,Kullaiba Road,unclassified
7,27,1453639318,903719305,"[611263089, 419698282, 327527401]","[611263089, 419698282, 327527401]_1453639318_903719305",True,205.83499999999998,Northcott Drive,primary
7,28,903719305,2659075988,"[419698286, 530744669, 1139092853, 530744670]","[419698286, 530744669, 1139092853, 530744670]_2659075988_903719305",True,296.504,Park Avenue,secondary
7,29,2659075988,903719322,419698303,419698303_2659075988_903719322,True,146.42100000000002,Park Avenue,secondary
7,30,903719322,12038672027,1299688736,1299688736_12038672027_903719322,True,7.191,Park Avenue,secondary
7,31,12038672027,355007422,"[584721976, 76700930, 279115684, 584721973]","[584721976, 76700930, 279115684, 584721973]_12038672027_355007422",True,173.14399999999995,Park Avenue,secondary
7,32,355007422,903719355,"[1299638354, 279115684]","[1299638354, 279115684]_355007422_903719355",True,94.845,Park Avenue,secondary
7,33,903719355,277137398,332229917,332229917_277137398_903719355,True,20.159,Park Avenue,secondary
7,34,277137398,277136570,332229917,332229917_277136570_277137398,True,263.067,Park Avenue,secondary
7,35,277136570,355007398,"[611263091, 1221729707]","[611263091, 1221729707]_277136570_355007398",True,90.417,Park Avenue,secondary
7,36,355007398,2692226557,263596313,263596313_2692226557_355007398,True,124.506,Howell Street,residential
8,1,2692226557,355007398,263596313,263596313_2692226557_355007398,True,124.506,Howell Street,residential
8,2,355007398,277136570,"[611263091, 1221729707]","[611263091, 1221729707]_277136570_355007398",True,90.417,Park Avenue,secondary
8,3,277136570,1840020403,263596304,263596304_1840020403_277136570,True,219.808,Joslin Street,tertiary
8,4,1840020403,1840020417,263596304,263596304_1840020403_1840020417,True,104.96699999999998,Joslin Street,tertiary
8,5,1840020417,1843843682,263596304,263596304_1840020417_1843843682,True,35.223,Joslin Street,tertiary
8,6,1843843682,1843843717,208217427,208217427_1843843682_1843843717,True,445.35299999999995,Joslin Street,tertiary
8,7,1843843717,1843843729,208217427,208217427_1843843717_1843843729,True,75.212,Joslin Street,tertiary
8,8,1843843729,1843843742,208217427,208217427_1843843729_1843843742,True,109.482,Joslin Street,tertiary
8,9,1843843742,1843843735,173599951,173599951_1843843735_1843843742,True,334.463,Moruya Parade,residential
8,10,1843843735,277137615,173599951,173599951_1843843735_277137615,True,96.707,Moruya Parade,residential
8,11,277137615,277137821,173599951,173599951_277137615_277137821,True,112.78299999999999,Moruya Parade,residential
8,12,277137821,174779362,173599912,173599912_174779362_277137821,True,237.79799999999997,Kuranda Crescent,residential
8,13,174779362,277137722,263596297,263596297_174779362_277137722,True,113.52900000000001,Park Avenue,secondary
8,14,277137722,277137718,173599954,173599954_277137718_277137722,True,121.07300000000001,Nereida Close,residential
8,15,277137718,277137722,173599954,173599954_277137718_277137722,True,121.07300000000001,Nereida Close,residential
8,16,277137722,174779362,263596297,263596297_174779362_277137722,True,113.52900000000001,Park Avenue,secondary
8,17,174779362,1843843688,"[263596297, 263596290]","[263596297, 263596290]_174779362_1843843688",True,195.984,Park Avenue,secondary
8,18,1843843688,355007369,"[263596290, 263596322]","[263596290, 263596322]_1843843688_355007369",True,659.5469999999999,Park Avenue,secondary
8,19,355007369,355007398,"[611263090, 611263091]","[611263090, 611263091]_355007369_355007398",True,237.153,Park Avenue,secondary
8,20,355007398,2692226557,263596313,263596313_2692226557_355007398,True,124.506,Howell Street,residential
9,1,2692226557,355007398,263596313,263596313_2692226557_355007398,True,124.506,Howell Street,residential
9,2,355007398,277136570,"[611263091, 1221729707]","[611263091, 1221729707]_277136570_355007398",True,90.417,Park Avenue,secondary
9,3,277136570,277137398,332229917,332229917_277136570_277137398,True,263.067,Park Avenue,secondary
9,4,277137398,903719355,332229917,332229917_277137398_903719355,True,20.159,Park Avenue,secondary
9,5,903719355,12038672642,584721982,584721982_12038672642_903719355,True,51.879,Park Avenue,secondary
9,6,12038672642,12038672648,584721982,584721982_12038672642_12038672648,True,87.15500000000002,Park Avenue,secondary
9,7,12038672648,12038672019,"[584721987, 584721982, 415483023]","[584721987, 584721982, 415483023]_12038672019_12038672648",True,124.29299999999999,Park Avenue,secondary
9,8,12038672019,284966533,1299638355,1299638355_12038672019_284966533,True,7.304,Park Avenue,secondary
9,9,284966533,249343640,"[418259558, 332229918]","[418259558, 332229918]_249343640_284966533",True,145.996,Park Avenue,secondary
9,10,249343640,903719337,"[1376958404, 1376958405, 419698285]","[1376958404, 1376958405, 419698285]_249343640_903719337",True,300.942,Park Avenue,secondary
9,11,903719337,903719325,418259552,418259552_903719325_903719337,True,13.415,Park Avenue,secondary
9,12,903719325,903719337,418259552,418259552_903719325_903719337,True,13.415,Park Avenue,secondary
9,13,903719337,903719325,418259552,418259552_903719325_903719337,True,13.415,Park Avenue,secondary
9,14,903719325,176399672,"[580178241, 132079389]","[580178241, 132079389]_176399672_903719325",True,73.10300000000001,Park Avenue,secondary
9,15,176399672,246011243,"[530744666, 918532435]","[530744666, 918532435]_176399672_246011243",True,38.328,Park Avenue,secondary
